ID,Year
205,2008
331,2008
763,2008
313,2008
187,2008
44,2009
854,2009
620,2009
152,2009
998,2009
242,2009
80,2009
872,2009
350,2009
314,2009
836,2009
602,2009
1088,2009
962,2009
116,2009
656,2009
638,2009
296,2009
332,2009
908,2009
926,2009
980,2009
62,2009
764,2009
1052,2009
710,2009
1034,2009
692,2009
1016,2009
890,2009
134,2009
674,2009
278,2009
800,2009
1178,2009
1070,2009
746,2009
98,2009
944,2009
1214,2009
818,2009
782,2009
728,2009
26,2009
458,2009
422,2009
440,2009
1124,2009
170,2009
566,2009
494,2009
548,2009
260,2009
1160,2009
224,2009
476,2009
386,2009
1142,2009
368,2009
512,2009
530,2009
404,2009
8,2009
1196,2009
584,2009
188,2009
1106,2009
206,2009
423,2010
279,2010
63,2010
891,2010
1161,2010
909,2010
657,2010
729,2010
99,2010
495,2010
531,2010
1071,2010
549,2010
1215,2010
801,2010
783,2010
27,2010
135,2010
1053,2010
297,2010
855,2010
189,2010
927,2010
981,2010
765,2010
693,2010
711,2010
675,2010
45,2010
459,2010
369,2010
387,2010
207,2010
9,2010
441,2010
81,2010
477,2010
225,2010
153,2010
999,2010
1107,2010
1089,2010
513,2010
315,2010
1143,2010
1125,2010
603,2010
585,2010
405,2010
243,2010
963,2010
873,2010
837,2010
621,2010
747,2010
1179,2010
1017,2010
819,2010
1197,2010
117,2010
639,2010
333,2010
171,2010
351,2010
1035,2010
567,2010
261,2010
945,2010
784,2011
874,2011
370,2011
532,2011
1144,2011
118,2011
1126,2011
748,2011
1180,2011
712,2011
838,2011
1036,2011
46,2011
892,2011
730,2011
334,2011
1216,2011
1054,2011
496,2011
388,2011
1000,2011
82,2011
514,2011
442,2011
766,2011
1198,2011
658,2011
550,2011
316,2011
1018,2011
64,2011
226,2011
298,2011
460,2011
10,2011
208,2011
820,2011
640,2011
172,2011
568,2011
352,2011
946,2011
154,2011
478,2011
1090,2011
622,2011
424,2011
982,2011
280,2011
586,2011
28,2011
910,2011
694,2011
964,2011
856,2011
1072,2011
1162,2011
190,2011
244,2011
676,2011
928,2011
604,2011
262,2011
406,2011
136,2011
100,2011
802,2011
1108,2011
1037,2012
317,2012
767,2012
587,2012
479,2012
1217,2012
821,2012
461,2012
497,2012
785,2012
101,2012
1019,2012
803,2012
191,2012
857,2012
83,2012
389,2012
281,2012
713,2012
839,2012
695,2012
353,2012
11,2012
47,2012
1109,2012
623,2012
983,2012
875,2012
245,2012
425,2012
677,2012
911,2012
929,2012
227,2012
137,2012
65,2012
659,2012
551,2012
1073,2012
1163,2012
209,2012
947,2012
569,2012
173,2012
1199,2012
641,2012
893,2012
515,2012
965,2012
443,2012
